id;nome;modelo;acompanha;palavraChave;peso;altura;largura;comprimento;codigo;marca;unidadeMedida;ativo;ncm;cest;origemFiscal;dataLancamento;dataAtualizacao;categorias;derivacoes;dataExtracao
3936;BLUSA Avulsa 1ª  Málaga;Blusa Manga Curta Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1CM;2;UN;True;62063000;;0;2025-08-01T00:00:00-03:00;2025-08-01T08:20:26-03:00;[36];[{'id': 3937, 'codigo': 'BA1CMP', 'nome': 'BLUSA Avulsa 1ª  Málaga - P', 'ativo': True}];2025-09-11 10:22:49
1816;BLUSA Avulsa 1ª Dog Life;Blusa Manga Curta Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1DL;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;;[36];[{'id': 2285, 'codigo': 'BA1DLM', 'nome': 'BLUSA Avulsa 1ª Dog Life - M', 'ativo': True}, {'id': 1817, 'codigo': 'BA1DLP', 'nome': 'BLUSA Avulsa 1ª Dog Life - P', 'ativo': True}];2025-09-11 10:22:49
1803;BLUSA Avulsa 1ª Dog Me;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1DM;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;2025-04-30T09:30:35-03:00;[36];[{'id': 1804, 'codigo': 'BA1DMP', 'nome': 'BLUSA Avulsa 1ª Dog Me - P', 'ativo': True}, {'id': 3359, 'codigo': 'BA1DMM', 'nome': 'BLUSA Avulsa 1ª Dog Me - M', 'ativo': True}, {'id': 1806, 'codigo': 'BA1DMGG', 'nome': 'BLUSA Avulsa 1ª Dog Me - GG', 'ativo': False}, {'id': 1805, 'codigo': 'BA1DMG', 'nome': 'BLUSA Avulsa 1ª Dog Me - G', 'ativo': False}];2025-09-11 10:22:49
1790;BLUSA Avulsa 1ª Estrela Azul Claro;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1EAC;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;2025-03-13T10:08:42-03:00;[36];[{'id': 1791, 'codigo': 'BA1EACG', 'nome': 'BLUSA Avulsa 1ª Estrela Azul Claro - G', 'ativo': True}, {'id': 1792, 'codigo': 'BA1EACGG', 'nome': 'BLUSA Avulsa 1ª Estrela Azul Claro - GG', 'ativo': True}];2025-09-11 10:22:49
2377;BLUSA Avulsa 1ª Estrela Cinza;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1EC;2;UN;True;62063000;;0;2024-12-05T00:00:00-03:00;2025-08-20T10:29:16-03:00;[36];[{'id': 2378, 'codigo': 'BA1ECGG', 'nome': 'BLUSA Avulsa 1ª Estrela Cinza - GG', 'ativo': True}];2025-09-11 10:22:49
2329;BLUSA Avulsa 1ª Floral;Blusa Básica  Avulsa;01 Blusa Avulsa  de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1F;2;UN;True;62063000;;0;2024-11-19T00:00:00-03:00;;[36];[{'id': 2330, 'codigo': 'BA1FM', 'nome': 'BLUSA Avulsa 1ª Floral - M', 'ativo': True}];2025-09-11 10:22:49
3040;BLUSA Avulsa 1ª Gatos ;Blusa Manga Curta Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1G;2;UN;True;62063000;;0;2025-03-11T00:00:00-03:00;2025-03-11T15:57:37-03:00;[36];[{'id': 3041, 'codigo': 'BA1GP', 'nome': 'BLUSA Avulsa 1ª Gatos  - P', 'ativo': True}, {'id': 3042, 'codigo': 'BA1GG', 'nome': 'BLUSA Avulsa 1ª Gatos  - G', 'ativo': True}];2025-09-11 10:22:49
3357;BLUSA Avulsa 1ª Infantil Dog Me;Blusa Americana Avulsa;01 Blusa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1IDM;2;UN;True;62063000;;0;2025-04-30T00:00:00-03:00;2025-04-30T09:26:51-03:00;[36];[{'id': 3358, 'codigo': 'BA1IDM04', 'nome': 'BLUSA Avulsa 1ª Infantil Dog Me - 04', 'ativo': True}];2025-09-11 10:22:49
2838;BLUSA Avulsa 1ª Infantil Xadrez Vermelha ;Blusa Americana Avulsa;01 Blusa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1IXV;2;UN;True;62063000;;0;2025-01-22T00:00:00-03:00;2025-01-22T14:17:37-03:00;[36];[{'id': 2839, 'codigo': 'BA1IXV06', 'nome': 'BLUSA Avulsa 1ª Infantil Xadrez Vermelha  - 06', 'ativo': True}, {'id': 2840, 'codigo': 'BA1IXV14', 'nome': 'BLUSA Avulsa 1ª Infantil Xadrez Vermelha  - 14', 'ativo': True}];2025-09-11 10:22:49
1832;BLUSA Avulsa 1ª Jesus Love Manga Longa;Blusa Manga Longa Avulsa 1ª Qualidade;01 Blusa Manga Longa de 1ª Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1JL;2;UN;True;62063000;;0;2024-08-01T00:00:00-03:00;;[36];[{'id': 1949, 'codigo': 'BA1JLG', 'nome': 'BLUSA Avulsa 1ª Jesus Love Manga Longa - G', 'ativo': True}, {'id': 1834, 'codigo': 'BA1JLGG', 'nome': 'BLUSA Avulsa 1ª Jesus Love Manga Longa - GG', 'ativo': True}, {'id': 1833, 'codigo': 'BA1JLP', 'nome': 'BLUSA Avulsa 1ª Jesus Love Manga Longa - P', 'ativo': False}];2025-09-11 10:22:49
3932;BLUSA Avulsa 1ª Love Margaridas;Pijama Manga Curta;01  Blusa.;Pijama, Pijama Verão, Short Doll, Shorts, Blusa;0.230;3.00;21.00;26.00;BA1LM;2;UN;True;62063000;;0;2025-07-31T00:00:00-03:00;2025-07-31T17:42:08-03:00;[36];[{'id': 3933, 'codigo': 'BA1LMGG', 'nome': 'BLUSA Avulsa 1ª Love Margaridas - GG', 'ativo': True}];2025-09-11 10:22:49
1787;BLUSA Avulsa 1ª Marinho;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1M;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;2025-08-01T09:48:36-03:00;[36];[{'id': 1835, 'codigo': 'BA1MGG', 'nome': 'BLUSA Avulsa 1ª Marinho - GG', 'ativo': False}, {'id': 1788, 'codigo': 'BA1MM', 'nome': 'BLUSA Avulsa 1ª Marinho - M', 'ativo': True}, {'id': 1789, 'codigo': 'BA1MG', 'nome': 'BLUSA Avulsa 1ª Marinho - G', 'ativo': False}, {'id': 1987, 'codigo': 'BA1MP', 'nome': 'BLUSA Avulsa 1ª Marinho - P', 'ativo': False}];2025-09-11 10:22:49
3180;BLUSA Avulsa 1ª Manga Curta Be Happy;Blusa Avulsa 1ª Qualidade;01 Blusa Manga Curta de 1ª Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1MA;2;UN;True;62063000;;0;2025-03-27T00:00:00-03:00;2025-03-27T17:43:24-03:00;[36];[{'id': 3181, 'codigo': 'BA1MAM', 'nome': 'BLUSA Avulsa 1ª Manga Curta Be Happy - M', 'ativo': True}];2025-09-11 10:22:49
1807;BLUSA Avulsa 1ª Mescla Branco;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1MB;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;;[36];[{'id': 1808, 'codigo': 'BA1MBP', 'nome': 'BLUSA Avulsa 1ª Mescla Branco - P', 'ativo': True}, {'id': 1809, 'codigo': 'BA1MBM', 'nome': 'BLUSA Avulsa 1ª Mescla Branco - M', 'ativo': True}, {'id': 1810, 'codigo': 'BA1MBG', 'nome': 'BLUSA Avulsa 1ª Mescla Branco - G', 'ativo': True}, {'id': 1811, 'codigo': 'BA1MBGG', 'nome': 'BLUSA Avulsa 1ª Mescla Branco - GG', 'ativo': True}, {'id': 1812, 'codigo': 'BA1MBG1', 'nome': 'BLUSA Avulsa 1ª Mescla Branco - G1', 'ativo': True}, {'id': 1813, 'codigo': 'BA1MBG2', 'nome': 'BLUSA Avulsa 1ª Mescla Branco - G2', 'ativo': True}];2025-09-11 10:22:49
2731;BLUSA Avulsa 1ª  Marinho Curta ;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1MC;2;UN;True;62063000;;0;2025-01-18T00:00:00-03:00;2025-01-18T09:51:36-03:00;[36];[{'id': 2732, 'codigo': 'BA1MCM', 'nome': 'BLUSA Avulsa 1ª  Marinho Curta  - M', 'ativo': True}];2025-09-11 10:22:49
3031;BLUSA Avulsa 1ª Margaridas Verde;Blusa Manga Curta Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1MV;2;UN;True;62063000;;0;2025-03-11T00:00:00-03:00;2025-08-26T16:56:20-03:00;[36];[{'id': 3032, 'codigo': 'BA1MVP', 'nome': 'BLUSA Avulsa 1ª Margaridas Verde - P', 'ativo': True}, {'id': 4028, 'codigo': 'BA1MVGG', 'nome': 'BLUSA Avulsa 1ª Margaridas Verde - GG', 'ativo': True}];2025-09-11 10:22:49
1778;BLUSA Avulsa 1ª Once;Blusa Avulsa 1ª Qualidade;01 Blusa de 1ª Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1O;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;;[36];[{'id': 1779, 'codigo': 'BA1OP', 'nome': 'BLUSA Avulsa 1ª Once - P', 'ativo': True}, {'id': 1780, 'codigo': 'BA1OM', 'nome': 'BLUSA Avulsa 1ª Once - M', 'ativo': True}, {'id': 1781, 'codigo': 'BA1OG', 'nome': 'BLUSA Avulsa 1ª Once - G', 'ativo': True}];2025-09-11 10:22:49
1799;BLUSA Avulsa 1ª Onça caki;Blusa Americana Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1OC;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;;[36];[{'id': 1800, 'codigo': 'BA1OCP', 'nome': 'BLUSA Avulsa 1ª Onça caki - P', 'ativo': True}, {'id': 1801, 'codigo': 'BA1OCG', 'nome': 'BLUSA Avulsa 1ª Onça caki - G', 'ativo': True}, {'id': 1802, 'codigo': 'BA1OCG1', 'nome': 'BLUSA Avulsa 1ª Onça caki - G1', 'ativo': True}];2025-09-11 10:22:49
1952;BLUSA Avulsa 1ª Pink Dream Xadrez;Blusa Avulsa Manga Longa Xadrez;01 Blusa Manga Longa de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1PDX;2;UN;True;62063000;;0;2024-08-07T00:00:00-03:00;;[36];[{'id': 1953, 'codigo': 'BA1PDXP', 'nome': 'BLUSA Avulsa 1ª Pink Dream Xadrez - P', 'ativo': True}, {'id': 1954, 'codigo': 'BA1PDXM', 'nome': 'BLUSA Avulsa 1ª Pink Dream Xadrez - M', 'ativo': True}, {'id': 1955, 'codigo': 'BA1PDXMG', 'nome': 'BLUSA Avulsa 1ª Pink Dream Xadrez - G', 'ativo': True}, {'id': 1956, 'codigo': 'BA1PDXMGG', 'nome': 'BLUSA Avulsa 1ª Pink Dream Xadrez - GG', 'ativo': True}];2025-09-11 10:22:49
2286;BLUSA  Avulsa 1ª Peluciada Mescla;Blusa Avulsa Black Dream;01 Blusa  Avulsa de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1PM;2;UN;True;62063000;;0;2024-11-14T00:00:00-03:00;;[36];[{'id': 2287, 'codigo': 'BA1PMP', 'nome': 'BLUSA  Avulsa 1ª Peluciada Mescla - P', 'ativo': True}];2025-09-11 10:22:49
3997;BLUSA Avulsa 1ª Preto Onça;Blusa Avulsa 1ª Qualidade;01 Blusa Americana de 1ª Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1PO;2;UN;True;62063000;;0;2025-08-20T00:00:00-03:00;2025-08-20T11:20:27-03:00;[36];[{'id': 3998, 'codigo': 'BA1POGG', 'nome': 'BLUSA Avulsa 1ª Preto Onça - GG', 'ativo': True}];2025-09-11 10:22:49
3944;BLUSA Avulsa 1ª POA Preto;Blusa Avulsa 1ª Qualidade;01 Blusa de 1ª Qualidade Manga longa;Outlet;0.150;3.00;20.00;20.00;BA1PP;2;UN;True;62063000;;0;2025-08-01T00:00:00-03:00;2025-08-01T10:22:07-03:00;[36];[{'id': 3945, 'codigo': 'BA1PPG', 'nome': 'BLUSA Avulsa 1ª POA Preto - G', 'ativo': True}];2025-09-11 10:22:49
2221;BLUSA Avulsa 1ª Preta Suede;Blusa Básica  Avulsa;01 Blusa Avulsa  de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1PS;2;UN;True;62063000;;0;2024-10-23T00:00:00-03:00;2025-07-31T18:07:44-03:00;[36];[{'id': 2223, 'codigo': 'BA1PSM', 'nome': 'BLUSA Avulsa 1ª Preta Suede - M', 'ativo': True}, {'id': 2226, 'codigo': 'BA1PSG1', 'nome': 'BLUSA Avulsa 1ª Preta Suede - G1', 'ativo': False}, {'id': 2225, 'codigo': 'BA1PSGG', 'nome': 'BLUSA Avulsa 1ª Preta Suede - GG', 'ativo': False}, {'id': 2224, 'codigo': 'BA1PSG', 'nome': 'BLUSA Avulsa 1ª Preta Suede - G', 'ativo': False}, {'id': 2222, 'codigo': 'BA1PSP', 'nome': 'BLUSA Avulsa 1ª Preta Suede - P', 'ativo': False}];2025-09-11 10:22:49
2290;BLUSA Avulsa 1ª Pelúcia Urso;Blusa Avulsa Black Dream;01 Blusa  Avulsa de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1PU;2;UN;True;62063000;;0;2024-11-15T00:00:00-03:00;;[36];[{'id': 2291, 'codigo': 'BA1PUG', 'nome': 'BLUSA Avulsa 1ª Pelúcia Urso - G', 'ativo': True}];2025-09-11 10:22:49
2087;BLUSA Avulsa 1ª  Xadrez Rosa Dream ;Blusa Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1RXD;2;UN;True;62063000;;0;2024-09-03T00:00:00-03:00;2025-06-27T17:41:29-03:00;[36];[{'id': 2089, 'codigo': 'BA1RXDG', 'nome': 'BLUSA Avulsa 1ª  Xadrez Rosa Dream  - G', 'ativo': True}, {'id': 2090, 'codigo': 'BA1RXDGG', 'nome': 'BLUSA Avulsa 1ª  Xadrez Rosa Dream  - GG', 'ativo': False}, {'id': 2088, 'codigo': 'BA1RXDM', 'nome': 'BLUSA Avulsa 1ª  Xadrez Rosa Dream  - M', 'ativo': False}];2025-09-11 10:22:49
1785;BLUSA Avulsa 1ª Star;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1S;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;2025-08-20T10:20:10-03:00;[36];[{'id': 1815, 'codigo': 'BA1SP', 'nome': 'BLUSA Avulsa 1ª Star - P', 'ativo': True}, {'id': 2085, 'codigo': 'BA1SG', 'nome': 'BLUSA Avulsa 1ª Star - G', 'ativo': False}, {'id': 1786, 'codigo': 'BA1SM', 'nome': 'BLUSA Avulsa 1ª Star - M', 'ativo': False}, {'id': 2086, 'codigo': 'BA1SGG', 'nome': 'BLUSA Avulsa 1ª Star - GG', 'ativo': True}];2025-09-11 10:22:49
3182;BLUSA Avulsa 1ª Urso;Blusa Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1U;2;UN;True;62063000;;0;2025-03-27T00:00:00-03:00;2025-03-27T17:48:41-03:00;[36];[{'id': 3183, 'codigo': 'BA1UG', 'nome': 'BLUSA Avulsa 1ª Urso - G', 'ativo': True}];2025-09-11 10:22:49
2408;BLUSA Avulsa 1ª Xadrez Marinho;Blusa de Alça Avulsa;01 Blusa de alça de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1XM;2;UN;True;62063000;;0;2024-12-10T00:00:00-03:00;2024-12-10T11:29:30-03:00;[36];[{'id': 2409, 'codigo': 'BA1XMM', 'nome': 'BLUSA Avulsa 1ª Xadrez Marinho - M', 'ativo': True}];2025-09-11 10:22:49
3942;BLUSA Avulsa 1ª Xadrez Off;Blusa Avulsa Americana;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1XO;2;UN;True;62063000;;0;2025-08-01T00:00:00-03:00;2025-08-01T10:07:24-03:00;[36];[{'id': 3943, 'codigo': 'BA1XOM', 'nome': 'BLUSA Avulsa 1ª Xadrez Off - M', 'ativo': True}];2025-09-11 10:22:49
1782;BLUSA Avulsa 1ª Xadrez Rosa;Blusa Avulsa Americana;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1XR;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;2025-06-27T17:40:17-03:00;[36];[{'id': 1783, 'codigo': 'BA1XRM', 'nome': 'BLUSA Avulsa 1ª Xadrez Rosa - M', 'ativo': False}, {'id': 3763, 'codigo': 'BA1XRG1', 'nome': 'BLUSA Avulsa 1ª Xadrez Rosa - G1', 'ativo': True}, {'id': 1814, 'codigo': 'BA1XRGG', 'nome': 'BLUSA Avulsa 1ª Xadrez Rosa - GG', 'ativo': False}, {'id': 1784, 'codigo': 'BA1XRG', 'nome': 'BLUSA Avulsa 1ª Xadrez Rosa - G', 'ativo': False}];2025-09-11 10:22:49
3332;BLUSA Avulsa 1ª Xadrez Rosa Marinho Manga Curta;Blusa de Alça Avulsa;01 Blusa de alça de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1XRMMC;2;UN;True;62063000;;0;2025-04-24T00:00:00-03:00;2025-04-24T17:40:13-03:00;[36];[{'id': 3333, 'codigo': 'BA1XRMMCM', 'nome': 'BLUSA Avulsa 1ª Xadrez Rosa Marinho Manga Curta - M', 'ativo': True}];2025-09-11 10:22:49
